wavenumbers,transmittance
255.25,0.008
256.7039566,0.007
258.1579133,0.004
259.6118699,20.004
261.0658266,0.002
262.5197832,0.001
263.9737398,0.001
265.4276965,0.001
266.8816531,10.001
268.3356098,0.001
269.7895664,0.001
271.243523,0.001
272.6974797,0.001
274.1514363,0.001
275.605393,0.001
277.0593496,0.001
278.5133062,0.001
279.9672629,0.001
281.4212195,30.001
282.8751762,0.001
284.3291328,0.001
285.7830894,0.001
287.2370461,0.001
288.6910027,0.001
290.1449593,0.001
291.598916,0.001
293.0528726,0.001
294.5068293,0.001
295.9607859,0.001
297.4147425,0.001
298.8686992,0.001
300.3226558,0.001
301.7766125,0.001
303.2305691,0.001
304.6845257,0.001
306.1384824,0.001
307.592439,0.002
309.0463957,0.002
310.5003523,0.002
311.9543089,0.002
313.4082656,0.002
314.8622222,0.002
316.3161789,0.002
317.7701355,0.002
319.2240921,0.002
320.6780488,0.002
322.1320054,0.002
323.5859621,0.002
325.0399187,0.001
326.4938753,0.001
327.947832,0.002
329.4017886,0.002
330.8557453,0.002
332.3097019,0.002
333.7636585,0.005
335.2176152,0.005
336.6715718,0.01
338.1255285,0.013
339.5794851,0.014
341.0334417,0.018
342.4873984,0.023
343.941355,0.033
345.3953117,0.033
346.8492683,0.037
348.3032249,0.04
349.7571816,0.043
351.2111382,0.05
352.6650949,0.053
354.1190515,0.0679
355.5730081,0.0799
357.0269648,0.081
358.4809214,0.084
359.934878,0.09
361.3888347,0.093
362.8427913,0.101
364.296748,0.112
365.7507046,0.122
367.2046612,0.1309
368.6586179,0.1439
370.1125745,0.1519
371.5665312,0.163
373.0204878,0.171
374.4744444,0.193
375.9284011,0.203
377.3823577,0.211
378.8363144,0.219
380.290271,0.2289
381.7442276,0.234
383.1981843,12.2499
384.6521409,0.2599
386.1060976,0.286
387.5600542,0.292
389.0140108,0.302
390.4679675,0.311
391.9219241,0.32
393.3758808,0.3329
394.8298374,0.3419
396.283794,0.3619
397.7377507,2230.365
399.1917073,0.3749
400.645664,0.384
402.0996206,0.394
403.5535772,0.41
405.0075339,0.4299
406.4614905,0.4519
407.9154472,0.454
409.3694038,0.462
410.8233604,0.4729
412.2773171,1230.4809
413.7312737,0.487
415.1852304,0.496
416.639187,0.497
418.0931436,0.502
419.5471003,0.508
421.0010569,0.512
422.4550136,0.521
423.9089702,0.526
425.3629268,0.522
426.8168835,0.516
428.2708401,0.5021
429.7247967,0.502
431.1787534,0.512
432.63271,0.518
434.0866667,0.5759
435.5406233,0.6119
436.9945799,0.6249
438.4485366,0.631
439.9024932,0.637
441.3564499,0.644
442.8104065,0.649
444.2643631,0.663
445.7183198,0.676
447.1722764,0.7079
448.6262331,0.72
450.0801897,0.733
451.5341463,100
452.988103,100
454.4420596,100
455.8960163,100
457.3499729,100
458.8039295,100
460.2578862,100
461.7118428,100
463.1657995,100
464.6197561,100
466.0737127,100
467.5276694,100
468.981626,100
470.4355827,100
471.8895393,0.8599
473.3434959,0.866
474.7974526,0.871
476.2514092,0.88
477.7053659,0.882
479.1593225,0.885
480.6132791,0.89
482.0672358,0.893
483.5211924,0.898
484.9751491,0.901
486.4291057,0.905
487.8830623,0.911
489.337019,0.912
490.7909756,0.917
492.2449322,0.922
493.6988889,0.927
495.1528455,0.931
496.6068022,0.935
498.0607588,0.935
499.5147154,0.938
500.9686721,0.938
502.4226287,0.93
503.8765854,0.922
505.330542,0.911
506.7844986,0.903
508.2384553,0.903
509.6924119,0.906
511.1463686,0.908
512.6003252,0.908
514.0542818,0.912
515.5082385,0.914
516.9621951,0.914
518.4161518,0.914
519.8701084,0.914
521.324065,0.914
522.7780217,0.915
524.2319783,0.919
525.685935,0.925
527.1398916,0.9349
528.5938482,0.941
530.0478049,0.943
531.5017615,0.951
532.9557182,0.951
534.4096748,0.953
535.8636314,0.954
537.3175881,0.957
538.7715447,0.957
540.2255014,0.959
541.679458,0.959
543.1334146,0.962
544.5873713,0.963
546.0413279,0.967
547.4952846,0.97
548.9492412,0.97
550.4031978,0.972
551.8571545,0.972
553.3111111,0.975
554.7650678,0.978
556.2190244,0.982
557.672981,0.982
559.1269377,0.982
560.5808943,0.981
562.0348509,0.981
563.4888076,0.979
564.9427642,0.979
566.3967209,0.979
567.8506775,0.979
569.3046341,0.981
570.7585908,0.981
572.2125474,0.982
573.6665041,0.982
575.1204607,0.982
576.5744173,0.983
578.028374,0.983
579.4823306,0.985
580.9362873,0.988
582.3902439,0.989
583.8442005,0.991
585.2981572,0.988
586.7521138,0.988
588.2060705,0.988
589.6600271,0.988
591.1139837,0.989
592.5679404,0.991
594.021897,0.992
595.4758537,0.994
596.9298103,0.994
598.3837669,0.992
599.8377236,0.992
601.2916802,0.992
602.7456369,0.992
604.1995935,0.992
605.6535501,0.994
607.1075068,0.994
608.5614634,0.992
610.0154201,0.991
611.4693767,0.991
612.9233333,0.988
614.37729,0.983
615.8312466,0.982
617.2852033,0.982
618.7391599,0.982
620.1931165,0.979
621.6470732,0.981
623.1010298,0.979
624.5549864,0.979
626.0089431,0.981
627.4628997,0.982
628.9168564,0.983
630.370813,0.985
631.8247696,0.985
633.2787263,0.986
634.7326829,0.986
636.1866396,0.989
637.6405962,0.991
639.0945528,0.991
640.5485095,0.986
642.0024661,0.985
643.4564228,0.983
644.9103794,0.981
646.364336,0.975
647.8182927,0.975
649.2722493,0.981
650.726206,0.982
652.1801626,0.983
653.6341192,0.985
655.0880759,0.985
656.5420325,0.985
657.9959892,0.983
659.4499458,0.983
660.9039024,0.982
662.3578591,0.981
663.8118157,0.978
665.2657724,0.972
666.719729,0.962
668.1736856,0.951
669.6276423,0.9381
671.0815989,0.9211
672.5355556,0.8991
673.9895122,0.8772
675.4434688,0.8601
676.8974255,0.842
678.3513821,0.826
679.8053388,0.812
681.2592954,0.7771
682.713252,0.764
684.1672087,0.7511
685.6211653,0.7371
687.075122,0.6853
688.5290786,0.6334
689.9830352,0.5834
691.4369919,0.534
692.8909485,0.525
694.3449051,0.5769
695.7988618,0.6169
697.2528184,0.6519
698.7067751,0.6809
700.1607317,0.7049
701.6146883,0.7189
703.068645,0.7299
704.5226016,0.7419
705.9765583,0.751
707.4305149,0.765
708.8844715,0.778
710.3384282,0.8129
711.7923848,0.8608
713.2463415,0.8859
714.7002981,0.9109
716.1542547,0.9279
717.6082114,0.934
719.062168,0.9429
720.5161247,0.951
721.9700813,0.959
723.4240379,0.966
724.8779946,0.969
726.3319512,0.972
727.7859079,0.975
729.2398645,0.976
730.6938211,0.979
732.1477778,0.979
733.6017344,0.979
735.0556911,0.973
736.5096477,0.973
737.9636043,0.972
739.417561,0.966
740.8715176,0.963
742.3254743,0.9491
743.7794309,0.9341
745.2333875,0.9032
746.6873442,0.8603
748.1413008,0.8154
749.5952575,0.768
751.0492141,0.736
752.5031707,0.7031
753.9571274,0.6053
755.411084,0.5063
756.8650407,0.4741
758.3189973,0.4422
759.7729539,0.4092
761.2269106,0.3752
762.6808672,0.3055
764.1348238,0.27
765.5887805,0.235
767.0427371,0.1641
768.4966938,0.161
769.9506504,0.164
771.404607,0.1988
772.8585637,0.2855
774.3125203,0.3267
775.766477,0.3905
777.2204336,0.4198
778.6743902,0.422
780.1283469,0.438
781.5823035,0.4809
783.0362602,0.5119
784.4902168,0.6117
785.9441734,0.6329
787.3981301,0.6619
788.8520867,0.6749
790.3060434,0.7286
791.76,0.7866
793.2139566,0.822
794.6679133,0.8919
796.1218699,0.896
797.5758266,0.905
799.0297832,0.9209
800.4837398,0.9329
801.9376965,0.941
803.3916531,0.947
804.8456098,0.951
806.2995664,0.954
807.753523,0.954
809.2074797,0.957
810.6614363,0.959
812.115393,0.96
813.5693496,0.96
815.0233062,0.963
816.4772629,0.966
817.9312195,0.967
819.3851762,0.97
820.8391328,0.97
822.2930894,0.969
823.7470461,0.969
825.2010027,0.97
826.6549593,0.972
828.108916,0.972
829.5628726,0.972
831.0168293,0.97
832.4707859,0.969
833.9247425,0.967
835.3786992,0.967
836.8326558,0.969
838.2866125,0.969
839.7405691,0.969
841.1945257,0.966
842.6484824,0.965
844.102439,0.962
845.5563957,0.962
847.0103523,0.959
848.4643089,0.956
849.9182656,0.956
851.3722222,0.954
852.8261789,0.951
