Created as New Dataset,Sample 001 By Administrator Date Friday, December 11 2020
cm-1,A
4000.00,0.2812
3999.00,0.2813
3998.00,0.2813
3997.00,0.2813
3996.00,0.2814
3995.00,0.2813
3994.00,0.2813
3993.00,0.2814
3992.00,0.2815
3991.00,0.2815
3990.00,0.2815
3989.00,0.2815
3988.00,0.2816
3987.00,0.2816
3986.00,0.2817
3985.00,0.2817
3984.00,0.2817
3983.00,0.2818
3982.00,0.2818
3981.00,0.2818
3980.00,0.2819
3979.00,0.2819
3978.00,0.2820
3977.00,0.2820
3976.00,0.2820
3975.00,0.2820
3974.00,0.2820
3973.00,0.2820
3972.00,0.2821
3971.00,0.2821
3970.00,0.2822
3969.00,0.2823
3968.00,0.2823
3967.00,0.2824
3966.00,0.2824
3965.00,0.2825
3964.00,0.2825
3963.00,0.2825
3962.00,0.2825
3961.00,0.2825
3960.00,0.2826
3959.00,0.2828
3958.00,0.2829
3957.00,0.2829
3956.00,0.2829
3955.00,0.2830
3954.00,0.2830
3953.00,0.2831
3952.00,0.2831
3951.00,0.2831
3950.00,0.2831
3949.00,0.2830
3948.00,0.2830
3947.00,0.2831
3946.00,0.2833
3945.00,0.2836
3944.00,0.2836
3943.00,0.2833
3942.00,0.2831
3941.00,0.2832
3940.00,0.2836
3939.00,0.2838
3938.00,0.2838
3937.00,0.2838
3936.00,0.2838
3935.00,0.2840
3934.00,0.2840
3933.00,0.2839
3932.00,0.2838
3931.00,0.2839
3930.00,0.2840
3929.00,0.2841
3928.00,0.2843
3927.00,0.2845
3926.00,0.2845
3925.00,0.2843
3924.00,0.2840
3923.00,0.2841
3922.00,0.2844
3921.00,0.2845
3920.00,0.2844
3919.00,0.2844
3918.00,0.2846
3917.00,0.2847
3916.00,0.2847
3915.00,0.2849
3914.00,0.2851
3913.00,0.2852
3912.00,0.2852
3911.00,0.2851
3910.00,0.2852
3909.00,0.2854
3908.00,0.2856
3907.00,0.2859
3906.00,0.2859
3905.00,0.2854
3904.00,0.2848
3903.00,0.2847
3902.00,0.2851
3901.00,0.2857
3900.00,0.2858
3899.00,0.2856
3898.00,0.2856
3897.00,0.2859
3896.00,0.2860
3895.00,0.2861
3894.00,0.2863
3893.00,0.2864
3892.00,0.2862
3891.00,0.2857
3890.00,0.2856
3889.00,0.2861
3888.00,0.2870
3887.00,0.2874
3886.00,0.2868
3885.00,0.2863
3884.00,0.2866
3883.00,0.2873
3882.00,0.2873
3881.00,0.2865
3880.00,0.2857
3879.00,0.2856
3878.00,0.2864
3877.00,0.2873
3876.00,0.2877
3875.00,0.2873
3874.00,0.2865
3873.00,0.2866
3872.00,0.2876
3871.00,0.2882
3870.00,0.2876
3869.00,0.2871
3868.00,0.2877
3867.00,0.2887
3866.00,0.2887
3865.00,0.2878
3864.00,0.2873
3863.00,0.2876
3862.00,0.2879
3861.00,0.2879
3860.00,0.2880
3859.00,0.2884
3858.00,0.2891
3857.00,0.2902
3856.00,0.2917
3855.00,0.2922
3854.00,0.2915
3853.00,0.2918
3852.00,0.2931
3851.00,0.2933
3850.00,0.2919
3849.00,0.2902
3848.00,0.2891
3847.00,0.2891
3846.00,0.2894
3845.00,0.2895
3844.00,0.2895
3843.00,0.2894
3842.00,0.2895
3841.00,0.2900
3840.00,0.2904
3839.00,0.2906
3838.00,0.2908
3837.00,0.2913
3836.00,0.2917
3835.00,0.2914
3834.00,0.2910
3833.00,0.2906
3832.00,0.2904
3831.00,0.2903
3830.00,0.2905
3829.00,0.2910
3828.00,0.2913
3827.00,0.2911
3826.00,0.2905
3825.00,0.2906
3824.00,0.2916
3823.00,0.2925
3822.00,0.2921
3821.00,0.2911
3820.00,0.2908
3819.00,0.2918
3818.00,0.2931
3817.00,0.2935
3816.00,0.2930
3815.00,0.2931
3814.00,0.2938
3813.00,0.2939
3812.00,0.2931
3811.00,0.2922
3810.00,0.2923
3809.00,0.2931
3808.00,0.2935
3807.00,0.2930
3806.00,0.2927
3805.00,0.2933
3804.00,0.2944
3803.00,0.2949
3802.00,0.2941
3801.00,0.2935
3800.00,0.2941
3799.00,0.2947
3798.00,0.2944
3797.00,0.2935
3796.00,0.2928
3795.00,0.2930
3794.00,0.2937
3793.00,0.2942
3792.00,0.2942
3791.00,0.2941
3790.00,0.2942
3789.00,0.2944
3788.00,0.2946
3787.00,0.2947
3786.00,0.2949
3785.00,0.2948
3784.00,0.2948
3783.00,0.2950
3782.00,0.2954
3781.00,0.2958
3780.00,0.2956
3779.00,0.2954
3778.00,0.2955
3777.00,0.2961
3776.00,0.2966
3775.00,0.2967
3774.00,0.2966
3773.00,0.2970
3772.00,0.2975
3771.00,0.2975
3770.00,0.2971
3769.00,0.2971
3768.00,0.2976
3767.00,0.2981
3766.00,0.2981
3765.00,0.2978
3764.00,0.2978
3763.00,0.2983
3762.00,0.2989
3761.00,0.2989
3760.00,0.2985
3759.00,0.2984
3758.00,0.2985
3757.00,0.2986
3756.00,0.2989
3755.00,0.2996
3754.00,0.3005
3753.00,0.3010
3752.00,0.3010
3751.00,0.3013
3750.00,0.3017
3749.00,0.3015
3748.00,0.3012
3747.00,0.3017
3746.00,0.3023
3745.00,0.3015
3744.00,0.3011
3743.00,0.3021
3742.00,0.3024
3741.00,0.3012
3740.00,0.2997
3739.00,0.2992
3738.00,0.2998
3737.00,0.3002
3736.00,0.2998
3735.00,0.2993
3734.00,0.2995
3733.00,0.2999
3732.00,0.3001
3731.00,0.3002
3730.00,0.3004
3729.00,0.3006
3728.00,0.3006
3727.00,0.3002
3726.00,0.2999
3725.00,0.3000
3724.00,0.3003
3723.00,0.3003
3722.00,0.3001
3721.00,0.3001
3720.00,0.3004
3719.00,0.3008
3718.00,0.3009
3717.00,0.3008
3716.00,0.3010
3715.00,0.3015
3714.00,0.3019
3713.00,0.3019
3712.00,0.3017
3711.00,0.3019
3710.00,0.3021
3709.00,0.3023
3708.00,0.3023
3707.00,0.3023
3706.00,0.3024
3705.00,0.3026
3704.00,0.3029
3703.00,0.3030
3702.00,0.3029
3701.00,0.3029
3700.00,0.3031
3699.00,0.3036
3698.00,0.3039
3697.00,0.3039
3696.00,0.3038
3695.00,0.3040
3694.00,0.3044
3693.00,0.3047
3692.00,0.3048
3691.00,0.3049
3690.00,0.3050
3689.00,0.3053
3688.00,0.3060
3687.00,0.3068
3686.00,0.3069
3685.00,0.3063
3684.00,0.3055
3683.00,0.3052
3682.00,0.3055
3681.00,0.3058
3680.00,0.3058
3679.00,0.3058
3678.00,0.3065
3677.00,0.3072
3676.00,0.3068
3675.00,0.3064
3674.00,0.3068
3673.00,0.3077
3672.00,0.3084
3671.00,0.3082
3670.00,0.3077
3669.00,0.3079
3668.00,0.3084
3667.00,0.3085
3666.00,0.3082
3665.00,0.3079
3664.00,0.3080
3663.00,0.3083
3662.00,0.3087
3661.00,0.3088
3660.00,0.3089
3659.00,0.3093
3658.00,0.3099
3657.00,0.3101
3656.00,0.3100
3655.00,0.3101
3654.00,0.3107
3653.00,0.3114
3652.00,0.3117
3651.00,0.3112
3650.00,0.3109
3649.00,0.3114
3648.00,0.3123
3647.00,0.3128
3646.00,0.3129
3645.00,0.3130
3644.00,0.3132
3643.00,0.3134
3642.00,0.3135
3641.00,0.3138
3640.00,0.3141
3639.00,0.3144
3638.00,0.3146
3637.00,0.3148
3636.00,0.3152
3635.00,0.3155
3634.00,0.3156
3633.00,0.3157
3632.00,0.3164
3631.00,0.3174
3630.00,0.3177
3629.00,0.3174
3628.00,0.3181
3627.00,0.3192
3626.00,0.3197
3625.00,0.3193
3624.00,0.3189
3623.00,0.3191
3622.00,0.3197
3621.00,0.3201
3620.00,0.3201
3619.00,0.3201
3618.00,0.3204
3617.00,0.3210
3616.00,0.3215
3615.00,0.3218
3614.00,0.3218
3613.00,0.3217
3612.00,0.3221
3611.00,0.3228
3610.00,0.3236
3609.00,0.3241
3608.00,0.3245
3607.00,0.3249
3606.00,0.3253
3605.00,0.3256
3604.00,0.3259
3603.00,0.3262
3602.00,0.3266
3601.00,0.3268
3600.00,0.3270
3599.00,0.3275
3598.00,0.3279
3597.00,0.3283
3596.00,0.3286
3595.00,0.3289
3594.00,0.3292
3593.00,0.3295
3592.00,0.3299
3591.00,0.3305
3590.00,0.3311
3589.00,0.3314
3588.00,0.3315
3587.00,0.3317
3586.00,0.3321
3585.00,0.3327
3584.00,0.3332
3583.00,0.3335
3582.00,0.3338
3581.00,0.3341
3580.00,0.3345
3579.00,0.3349
3578.00,0.3353
3577.00,0.3356
3576.00,0.3360
3575.00,0.3363
3574.00,0.3367
3573.00,0.3370
3572.00,0.3373
3571.00,0.3377
3570.00,0.3381
3569.00,0.3383
3568.00,0.3384
3567.00,0.3386
3566.00,0.3390
3565.00,0.3396
3564.00,0.3401
3563.00,0.3406
3562.00,0.3409
3561.00,0.3412
3560.00,0.3416
3559.00,0.3421
3558.00,0.3425
3557.00,0.3429
3556.00,0.3433
3555.00,0.3437
3554.00,0.3441
3553.00,0.3443
3552.00,0.3445
3551.00,0.3449
3550.00,0.3453
3549.00,0.3458
3548.00,0.3462
3547.00,0.3465
3546.00,0.3468
3545.00,0.3471
3544.00,0.3476
3543.00,0.3480
3542.00,0.3484
3541.00,0.3488
3540.00,0.3491
3539.00,0.3496
3538.00,0.3500
3537.00,0.3503
3536.00,0.3506
3535.00,0.3510
3534.00,0.3514
3533.00,0.3517
3532.00,0.3520
3531.00,0.3523
3530.00,0.3527
3529.00,0.3529
3528.00,0.3532
3527.00,0.3535
3526.00,0.3539
3525.00,0.3544
3524.00,0.3547
3523.00,0.3550
3522.00,0.3553
3521.00,0.3557
3520.00,0.3561
3519.00,0.3564
3518.00,0.3567
3517.00,0.3570
3516.00,0.3574
3515.00,0.3578
3514.00,0.3581
3513.00,0.3584
3512.00,0.3587
3511.00,0.3590
3510.00,0.3592
3509.00,0.3594
3508.00,0.3598
3507.00,0.3602
3506.00,0.3606
3505.00,0.3608
3504.00,0.3610
3503.00,0.3613
3502.00,0.3615
3501.00,0.3618
3500.00,0.3622
3499.00,0.3625
3498.00,0.3628
3497.00,0.3631
3496.00,0.3634
3495.00,0.3637
3494.00,0.3640
